time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-30 12:3:59.247	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	3	9	11	5	11.56	10057.2.3	100
2025-3-30 12:3:59.307	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	0	9	11	5	11.87	10057.2.3	100
2025-3-30 12:3:59.458	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	9	11	5	11.87	10057.2.3	100
2025-3-30 12:3:59.546	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	1	0	8	5	5	11.62	10057.2.3	100
2025-3-30 12:3:59.637	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	1	8	5	5	11.75	10057.2.3	100
2025-3-30 12:3:59.726	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	8	5	5	11.62	10057.2.3	100
2025-3-30 12:3:59.847	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	0	8	5	5	11.62	10057.2.3	100
2025-3-30 12:3:59.960	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	8	5	5	11.62	10057.2.3	100
2025-3-30 12:4:0.59	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	8	5	5	11.75	10057.2.3	100
2025-3-30 12:4:0.115	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	8	5	5	11.43	10057.2.3	100
2025-3-30 12:4:0.235	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	1	8	5	5	11.75	10057.2.3	100
2025-3-30 12:4:0.326	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	5	2	3	8	5	5	11.87	10057.2.3	100
2025-3-30 12:4:0.446	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	8	5	5	11.87	10057.2.3	100
2025-3-30 12:4:0.537	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	4	2	5	10	4	7	12.00	10057.2.3	100
2025-3-30 12:4:0.656	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	4	2	3	10	4	7	11.87	10057.2.3	100
2025-3-30 12:4:0.716	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	10	4	7	11.62	10057.2.3	100
2025-3-30 12:4:0.896	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	1	1	10	4	7	11.75	10057.2.3	100
2025-3-30 12:4:0.926	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	10	4	7	11.62	10057.2.3	100
2025-3-30 12:4:1.46	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	10	4	7	11.87	10057.2.3	100
2025-3-30 12:4:1.322	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	1	10	4	7	11.62	10057.2.3	100
2025-3-30 12:4:1.322	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	10	4	7	11.56	10057.2.3	100
2025-3-30 12:4:1.346	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	0	10	4	7	11.62	10057.2.3	100
2025-3-30 12:4:1.466	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	0	10	4	7	11.75	10057.2.3	100
2025-3-30 12:4:1.526	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	9	6	7	11.62	10057.2.3	100
2025-3-30 12:4:1.680	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	9	6	7	11.87	10057.2.3	100
2025-3-30 12:4:1.737	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	9	6	7	11.68	10057.2.3	100
2025-3-30 12:4:1.858	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	9	6	7	11.56	10057.2.3	100
2025-3-30 12:4:1.947	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	9	6	7	11.75	10057.2.3	100
2025-3-30 12:4:2.67	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	9	6	7	11.68	10057.2.3	100
2025-3-30 12:4:2.126	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	9	6	7	11.56	10057.2.3	100
2025-3-30 12:4:2.247	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	9	6	7	11.87	10057.2.3	100
2025-3-30 12:4:2.336	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	9	6	7	12.00	10057.2.3	100
2025-3-30 12:4:2.457	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	9	6	7	11.75	10057.2.3	100
2025-3-30 12:4:2.546	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	7	1	4	12.06	10057.2.3	100
2025-3-30 12:4:2.670	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	7	1	4	11.62	10057.2.3	100
2025-3-30 12:4:2.756	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	7	1	4	11.87	10057.2.3	100
2025-3-30 12:4:2.876	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	7	1	4	11.75	10057.2.3	100
2025-3-30 12:4:2.936	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	7	1	4	11.62	10057.2.3	100
2025-3-30 12:4:3.57	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	0	7	1	4	11.75	10057.2.3	100
2025-3-30 12:4:3.146	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	7	1	4	11.68	10057.2.3	100
2025-3-30 12:4:3.266	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	4	1	1	7	1	4	11.75	10057.2.3	100
2025-3-30 12:4:3.386	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	7	1	4	11.75	10057.2.3	100
2025-3-30 12:4:3.476	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	3	7	1	4	11.75	10057.2.3	100
2025-3-30 12:4:3.536	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	4	1	0	11	3	5	11.62	10057.2.3	100
2025-3-30 12:4:3.657	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	11	3	5	11.75	10057.2.3	100
2025-3-30 12:4:3.747	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	1	11	3	5	11.75	10057.2.3	100
2025-3-30 12:4:3.866	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	11	3	5	11.62	10057.2.3	100
2025-3-30 12:4:3.957	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	11	3	5	11.75	10057.2.3	100
2025-3-30 12:4:4.76	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	11	3	5	11.75	10057.2.3	100
2025-3-30 12:4:4.167	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	11	3	5	11.75	10057.2.3	100
2025-3-30 12:4:4.286	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	11	3	5	11.56	10057.2.3	100
2025-3-30 12:4:4.346	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	2	1	11	3	5	11.94	10057.2.3	100
2025-3-30 12:4:4.467	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	2	11	3	5	11.75	10057.2.3	100
2025-3-30 12:4:4.557	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	1	3	8	4	5	11.68	10057.2.3	100
2025-3-30 12:4:4.677	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	8	4	5	11.62	10057.2.3	100
2025-3-30 12:4:4.765	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	0	8	4	5	11.62	10057.2.3	100
2025-3-30 12:4:4.885	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	8	4	5	11.94	10057.2.3	100
2025-3-30 12:4:4.947	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	8	4	5	11.62	10057.2.3	100
2025-3-30 12:4:5.66	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	8	4	5	11.75	10057.2.3	100
2025-3-30 12:4:5.217	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	8	4	5	11.62	10057.2.3	100
2025-3-30 12:4:5.276	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	8	4	5	11.49	10057.2.3	100
