time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-13 22:24:22.4	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	1	20.52	10057.2.3	100
2025-3-13 22:24:22.154	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	1	1	1	20.64	10057.2.3	100
2025-3-13 22:24:22.216	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	1	1	1	20.64	10057.2.3	100
2025-3-13 22:24:22.334	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	1	20.77	10057.2.3	100
2025-3-13 22:24:22.424	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	3	6	20.83	10057.2.3	100
2025-3-13 22:24:22.544	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	3	6	20.64	10057.2.3	100
2025-3-13 22:24:22.634	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	3	6	20.70	10057.2.3	100
2025-3-13 22:24:22.754	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	1	3	6	20.77	10057.2.3	100
2025-3-13 22:24:22.815	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	3	6	20.89	10057.2.3	100
2025-3-13 22:24:22.934	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	3	6	20.64	10057.2.3	100
2025-3-13 22:24:23.23	WTVB01-BT50(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	3	6	20.89	10057.2.3	100
2025-3-13 22:24:23.144	WTVB01-BT50(8021AB414BBE)	11	1	0	0.022	0.000	0.000	1	4	1	1	3	6	20.77	10057.2.3	100
2025-3-13 22:24:23.234	WTVB01-BT50(8021AB414BBE)	23	12	5	0.209	0.225	0.302	127	144	59	1	3	6	20.77	10057.2.3	100
2025-3-13 22:24:23.355	WTVB01-BT50(8021AB414BBE)	4	13	19	0.275	0.060	0.341	236	208	86	1	3	6	20.83	10057.2.3	100
2025-3-13 22:24:23.418	WTVB01-BT50(8021AB414BBE)	1	12	8	0.214	0.220	0.011	53	131	127	3	1	6	21.02	10057.2.3	100
2025-3-13 22:24:23.533	WTVB01-BT50(8021AB414BBE)	1	5	9	0.055	0.044	0.247	12	64	116	3	1	6	20.83	10057.2.3	100
2025-3-13 22:24:23.623	WTVB01-BT50(8021AB414BBE)	2	3	6	0.203	0.088	0.055	11	11	99	3	1	6	20.83	10057.2.3	100
2025-3-13 22:24:23.744	WTVB01-BT50(8021AB414BBE)	0	3	1	0.126	0.055	0.093	17	38	18	3	1	6	20.96	10057.2.3	100
2025-3-13 22:24:23.834	WTVB01-BT50(8021AB414BBE)	5	7	2	0.049	0.016	0.071	7	84	13	3	1	6	20.64	10057.2.3	100
2025-3-13 22:24:23.954	WTVB01-BT50(8021AB414BBE)	2	1	3	0.181	0.060	0.011	39	17	22	3	1	6	20.89	10057.2.3	100
2025-3-13 22:24:24.44	WTVB01-BT50(8021AB414BBE)	0	2	1	0.071	0.258	0.066	33	37	16	3	1	6	20.89	10057.2.3	100
2025-3-13 22:24:24.164	WTVB01-BT50(8021AB414BBE)	1	2	0	0.450	0.082	0.077	5	36	16	3	1	6	20.64	10057.2.3	100
2025-3-13 22:24:24.223	WTVB01-BT50(8021AB414BBE)	2	8	6	0.214	0.264	0.060	20	116	100	3	1	6	20.89	10057.2.3	100
2025-3-13 22:24:24.344	WTVB01-BT50(8021AB414BBE)	5	8	2	0.077	0.137	0.055	14	107	31	3	1	6	20.77	10057.2.3	100
2025-3-13 22:24:24.434	WTVB01-BT50(8021AB414BBE)	7	7	1	0.126	0.077	0.033	54	93	10	8	6	6	20.77	10057.2.3	100
2025-3-13 22:24:24.554	WTVB01-BT50(8021AB414BBE)	4	5	3	0.022	0.066	0.055	82	73	13	8	6	6	20.83	10057.2.3	100
2025-3-13 22:24:24.644	WTVB01-BT50(8021AB414BBE)	3	1	1	0.049	0.011	0.011	48	10	5	8	6	6	20.64	10057.2.3	100
2025-3-13 22:24:24.763	WTVB01-BT50(8021AB414BBE)	2	2	2	0.181	0.060	0.044	59	18	4	8	6	6	20.77	10057.2.3	100
2025-3-13 22:24:24.823	WTVB01-BT50(8021AB414BBE)	1	0	3	0.225	0.220	0.066	67	24	28	8	6	6	20.96	10057.2.3	100
2025-3-13 22:24:24.944	WTVB01-BT50(8021AB414BBE)	2	1	0	0.143	0.132	0.121	11	34	3	8	6	6	20.64	10057.2.3	100
2025-3-13 22:24:25.34	WTVB01-BT50(8021AB414BBE)	2	3	5	0.258	0.242	0.225	19	82	45	8	6	6	20.89	10057.2.3	100
2025-3-13 22:24:25.154	WTVB01-BT50(8021AB414BBE)	4	5	9	0.439	0.231	0.181	7	109	108	8	6	6	20.83	10057.2.3	100
2025-3-13 22:24:25.244	WTVB01-BT50(8021AB414BBE)	4	5	4	0.060	0.352	0.077	89	135	43	8	6	6	20.77	10057.2.3	100
2025-3-13 22:24:25.364	WTVB01-BT50(8021AB414BBE)	1	4	1	0.582	0.132	0.038	85	38	10	8	6	6	20.96	10057.2.3	100
2025-3-13 22:24:25.454	WTVB01-BT50(8021AB414BBE)	1	7	3	0.253	0.110	0.049	38	74	81	3	5	12	20.77	10057.2.3	100
2025-3-13 22:24:25.573	WTVB01-BT50(8021AB414BBE)	5	5	5	0.324	0.115	0.088	7	69	29	3	5	12	20.83	10057.2.3	100
2025-3-13 22:24:25.634	WTVB01-BT50(8021AB414BBE)	2	11	8	0.280	0.044	0.115	36	109	81	3	5	12	20.89	10057.2.3	100
2025-3-13 22:24:25.754	WTVB01-BT50(8021AB414BBE)	2	2	3	0.264	0.099	0.099	25	49	76	3	5	12	20.70	10057.2.3	100
2025-3-13 22:24:25.844	WTVB01-BT50(8021AB414BBE)	1	2	3	0.022	0.038	0.093	40	23	31	3	5	12	20.83	10057.2.3	100
2025-3-13 22:24:25.964	WTVB01-BT50(8021AB414BBE)	1	3	3	0.126	0.099	0.027	16	41	53	3	5	12	20.77	10057.2.3	100
2025-3-13 22:24:26.54	WTVB01-BT50(8021AB414BBE)	8	3	3	0.033	0.390	0.049	21	30	67	3	5	12	20.89	10057.2.3	100
2025-3-13 22:24:26.174	WTVB01-BT50(8021AB414BBE)	4	4	5	0.088	0.330	0.049	148	47	48	3	5	12	20.96	10057.2.3	100
2025-3-13 22:24:26.234	WTVB01-BT50(8021AB414BBE)	3	5	7	0.104	0.313	0.126	33	24	190	3	5	12	20.89	10057.2.3	100
2025-3-13 22:24:26.354	WTVB01-BT50(8021AB414BBE)	2	3	5	0.082	0.192	0.022	46	74	67	3	5	12	20.89	10057.2.3	100
2025-3-13 22:24:26.474	WTVB01-BT50(8021AB414BBE)	0	2	1	0.082	0.077	0.022	36	38	42	2	3	9	20.70	10057.2.3	100
2025-3-13 22:24:26.564	WTVB01-BT50(8021AB414BBE)	3	3	2	0.044	0.066	0.011	2	22	46	2	3	9	20.83	10057.2.3	100
2025-3-13 22:24:26.654	WTVB01-BT50(8021AB414BBE)	6	5	5	0.066	0.220	0.044	47	37	63	2	3	9	21.02	10057.2.3	100
2025-3-13 22:24:26.774	WTVB01-BT50(8021AB414BBE)	11	3	6	0.060	0.401	0.231	104	16	78	2	3	9	20.96	10057.2.3	100
2025-3-13 22:24:26.864	WTVB01-BT50(8021AB414BBE)	9	2	3	0.291	0.187	0.192	190	24	57	2	3	9	20.77	10057.2.3	100
2025-3-13 22:24:26.984	WTVB01-BT50(8021AB414BBE)	5	5	9	0.093	0.242	0.346	177	58	54	2	3	9	20.89	10057.2.3	100
2025-3-13 22:24:27.44	WTVB01-BT50(8021AB414BBE)	1	3	8	0.093	0.187	0.033	81	21	77	2	3	9	20.64	10057.2.3	100
2025-3-13 22:24:27.164	WTVB01-BT50(8021AB414BBE)	1	3	4	0.165	0.121	0.082	39	22	19	2	3	9	20.77	10057.2.3	100
2025-3-13 22:24:27.253	WTVB01-BT50(8021AB414BBE)	1	4	3	0.060	0.038	0.071	11	27	26	2	3	9	20.83	10057.2.3	100
2025-3-13 22:24:27.374	WTVB01-BT50(8021AB414BBE)	0	1	2	0.027	0.027	0.011	4	13	18	2	3	9	20.77	10057.2.3	100
2025-3-13 22:24:27.464	WTVB01-BT50(8021AB414BBE)	2	1	3	0.066	0.066	0.033	9	13	17	6	9	8	20.89	10057.2.3	100
2025-3-13 22:24:27.584	WTVB01-BT50(8021AB414BBE)	2	1	5	0.198	0.060	0.110	19	23	9	6	9	8	20.83	10057.2.3	100
2025-3-13 22:24:27.644	WTVB01-BT50(8021AB414BBE)	10	3	3	0.110	0.022	0.170	28	93	36	6	9	8	20.83	10057.2.3	100
2025-3-13 22:24:27.764	WTVB01-BT50(8021AB414BBE)	6	7	7	0.027	0.038	0.505	108	136	74	6	9	8	21.02	10057.2.3	100
2025-3-13 22:24:27.854	WTVB01-BT50(8021AB414BBE)	3	3	7	0.115	0.181	0.428	109	84	92	6	9	8	20.64	10057.2.3	100
2025-3-13 22:24:27.974	WTVB01-BT50(8021AB414BBE)	0	1	2	0.110	0.038	0.209	47	22	33	6	9	8	21.15	10057.2.3	100
2025-3-13 22:24:28.64	WTVB01-BT50(8021AB414BBE)	1	1	1	0.049	0.011	0.082	26	25	35	6	9	8	20.45	10057.2.3	100
2025-3-13 22:24:28.184	WTVB01-BT50(8021AB414BBE)	4	0	1	0.159	0.038	0.011	15	28	32	6	9	8	20.89	10057.2.3	100
2025-3-13 22:24:28.274	WTVB01-BT50(8021AB414BBE)	1	6	5	0.154	0.428	0.110	45	59	51	6	9	8	20.89	10057.2.3	100
2025-3-13 22:24:28.394	WTVB01-BT50(8021AB414BBE)	0	4	2	0.544	0.060	0.286	27	69	15	6	9	8	20.96	10057.2.3	100
2025-3-13 22:24:28.454	WTVB01-BT50(8021AB414BBE)	2	12	5	0.599	0.143	0.258	8	151	61	4	8	11	20.89	10057.2.3	100
2025-3-13 22:24:28.574	WTVB01-BT50(8021AB414BBE)	2	8	0	0.467	0.104	0.154	8	164	7	4	8	11	20.89	10057.2.3	100
2025-3-13 22:24:28.664	WTVB01-BT50(8021AB414BBE)	0	6	5	0.066	0.198	0.225	13	76	84	4	8	11	20.89	10057.2.3	100
2025-3-13 22:24:28.784	WTVB01-BT50(8021AB414BBE)	1	4	5	0.291	0.049	0.038	4	72	105	4	8	11	20.83	10057.2.3	100
