time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-24 15:46:8.87	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	4	5	16.98	null	null
2025-3-24 15:46:8.207	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	4	5	16.98	null	null
2025-3-24 15:46:8.288	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	4	5	16.98	null	null
2025-3-24 15:46:8.409	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	4	4	5	16.86	null	null
2025-3-24 15:46:8.490	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	5	5	17.05	null	100
2025-3-24 15:46:8.610	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	3	6	5	5	17.11	null	100
2025-3-24 15:46:8.689	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	6	5	5	16.92	10057.2.3	100
2025-3-24 15:46:8.807	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	5	5	16.98	10057.2.3	100
2025-3-24 15:46:8.890	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	6	5	5	16.98	10057.2.3	100
2025-3-24 15:46:9.7	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	5	5	17.23	10057.2.3	100
2025-3-24 15:46:9.87	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	1	6	5	5	16.98	10057.2.3	100
2025-3-24 15:46:9.210	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	4	6	5	5	17.23	10057.2.3	100
2025-3-24 15:46:9.287	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	1	4	6	5	5	16.73	10057.2.3	100
2025-3-24 15:46:9.407	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	2	2	6	5	5	17.23	10057.2.3	100
2025-3-24 15:46:9.510	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	5	6	7	16.98	10057.2.3	100
2025-3-24 15:46:9.628	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	5	6	7	17.05	10057.2.3	100
2025-3-24 15:46:9.708	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	6	7	17.11	10057.2.3	100
2025-3-24 15:46:9.827	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	6	7	16.92	10057.2.3	100
2025-3-24 15:46:9.907	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	6	7	16.92	10057.2.3	100
2025-3-24 15:46:10.89	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	5	6	7	17.05	10057.2.3	100
2025-3-24 15:46:10.109	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	5	6	7	16.98	10057.2.3	100
2025-3-24 15:46:10.227	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	6	7	17.23	10057.2.3	100
2025-3-24 15:46:10.306	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	6	7	17.11	10057.2.3	100
2025-3-24 15:46:10.426	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	6	7	16.98	10057.2.3	100
2025-3-24 15:46:10.507	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	5	2	4	17.11	10057.2.3	100
2025-3-24 15:46:10.626	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	4	17.05	10057.2.3	100
2025-3-24 15:46:10.707	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	2	4	17.05	10057.2.3	100
2025-3-24 15:46:10.834	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	5	2	4	17.05	10057.2.3	100
2025-3-24 15:46:10.907	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	4	17.05	10057.2.3	100
2025-3-24 15:46:11.47	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	4	16.98	10057.2.3	100
2025-3-24 15:46:11.108	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	5	2	4	17.23	10057.2.3	100
2025-3-24 15:46:11.228	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	5	2	4	17.23	10057.2.3	100
