time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-4-20 11:2:56.847	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	7	1	7	22.79	10057.2.3	100
2025-4-20 11:2:56.921	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	7	1	7	22.47	10057.2.3	100
2025-4-20 11:2:57.47	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	7	1	7	22.98	10057.2.3	100
2025-4-20 11:2:57.122	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	7	1	7	22.47	10057.2.3	100
2025-4-20 11:2:57.246	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	7	1	7	22.41	10057.2.3	100
2025-4-20 11:2:57.321	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	3	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:57.446	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	1	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:57.522	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:57.646	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	3	9	3	9	22.47	10057.2.3	100
2025-4-20 11:2:57.722	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:57.873	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:57.923	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:58.47	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	9	3	9	22.60	10057.2.3	100
2025-4-20 11:2:58.123	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	9	3	9	22.66	10057.2.3	100
2025-4-20 11:2:58.247	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	2	9	3	9	22.66	10057.2.3	100
2025-4-20 11:2:58.322	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	7	4	7	22.72	10057.2.3	100
2025-4-20 11:2:58.447	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	7	4	7	22.47	10057.2.3	100
2025-4-20 11:2:58.546	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	7	4	7	22.60	10057.2.3	100
2025-4-20 11:2:58.831	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	7	4	7	22.60	10057.2.3	100
2025-4-20 11:2:58.831	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	7	4	7	22.66	10057.2.3	100
2025-4-20 11:2:58.846	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	7	4	7	22.66	10057.2.3	100
2025-4-20 11:2:58.947	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	7	4	7	22.85	10057.2.3	100
2025-4-20 11:2:59.47	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	7	4	7	22.66	10057.2.3	100
2025-4-20 11:2:59.147	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	7	4	7	22.79	10057.2.3	100
2025-4-20 11:2:59.272	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	7	4	7	22.85	10057.2.3	100
2025-4-20 11:2:59.373	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	4	0	8	22.66	10057.2.3	100
2025-4-20 11:2:59.472	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	1	4	0	8	22.66	10057.2.3	100
2025-4-20 11:2:59.547	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	0	8	22.47	10057.2.3	100
2025-4-20 11:2:59.672	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	3	4	0	8	22.79	10057.2.3	100
2025-4-20 11:2:59.748	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	4	0	8	22.60	10057.2.3	100
2025-4-20 11:2:59.872	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	1	4	0	8	22.60	10057.2.3	100
2025-4-20 11:2:59.946	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	0	8	22.79	10057.2.3	100
2025-4-20 11:3:0.72	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	0	8	22.60	10057.2.3	100
2025-4-20 11:3:0.147	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	0	8	22.85	10057.2.3	100
