time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-5-1 20:11:4.619	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	0	3	22.66	10057.2.3	100
2025-5-1 20:11:4.679	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.91	10057.2.3	100
2025-5-1 20:11:4.799	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	1	1	2	22.72	10057.2.3	100
2025-5-1 20:11:4.888	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.85	10057.2.3	100
2025-5-1 20:11:5.8	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.79	10057.2.3	100
2025-5-1 20:11:5.99	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	1	1	2	22.79	10057.2.3	100
2025-5-1 20:11:5.218	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	1	1	2	22.79	10057.2.3	100
2025-5-1 20:11:5.308	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.66	10057.2.3	100
2025-5-1 20:11:5.428	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.98	10057.2.3	100
2025-5-1 20:11:5.488	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.79	10057.2.3	100
2025-5-1 20:11:5.608	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	1	1	2	22.79	10057.2.3	100
2025-5-1 20:11:5.698	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	2	2	22.79	10057.2.3	100
2025-5-1 20:11:5.818	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	2	2	2	22.72	10057.2.3	100
2025-5-1 20:11:5.908	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	1	2	2	2	22.91	10057.2.3	100
2025-5-1 20:11:6.32	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	2	2	22.98	10057.2.3	100
2025-5-1 20:11:6.94	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	2	2	22.85	10057.2.3	100
2025-5-1 20:11:6.239	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	2	2	22.79	10057.2.3	100
2025-5-1 20:11:6.299	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	2	2	22.72	10057.2.3	100
2025-5-1 20:11:6.630	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	2	2	2	22.72	10057.2.3	100
2025-5-1 20:11:6.630	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	2	2	22.79	10057.2.3	100
2025-5-1 20:11:6.630	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	2	2	2	22.72	10057.2.3	100
2025-5-1 20:11:6.718	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	2	3	3	22.79	10057.2.3	100
2025-5-1 20:11:6.837	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	3	3	22.91	10057.2.3	100
2025-5-1 20:11:6.898	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	3	3	22.79	10057.2.3	100
2025-5-1 20:11:7.19	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	3	3	22.72	10057.2.3	100
2025-5-1 20:11:7.110	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	3	3	22.79	10057.2.3	100
