time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-30 11:27:35.187	WTbob(8021AB414BBE)	2	5	2	0.005	0.016	0.000	5	30	5	16	15	18	12.12	10057.2.3	100
2025-3-30 11:27:35.278	WTbob(8021AB414BBE)	3	6	4	0.016	0.005	0.005	28	71	39	16	15	18	12.00	10057.2.3	100
2025-3-30 11:27:35.397	WTbob(8021AB414BBE)	1	8	2	0.005	0.000	0.005	25	96	17	16	15	18	12.12	10057.2.3	100
2025-3-30 11:27:35.457	WTbob(8021AB414BBE)	4	5	9	0.011	0.005	0.000	5	18	58	16	15	18	12.00	10057.2.3	100
2025-3-30 11:27:35.577	WTbob(8021AB414BBE)	4	5	4	0.005	0.005	0.000	19	26	13	16	15	18	12.12	10057.2.3	100
2025-3-30 11:27:35.667	WTbob(8021AB414BBE)	3	5	3	0.011	0.000	0.005	26	44	30	16	15	18	12.06	10057.2.3	100
2025-3-30 11:27:35.787	WTbob(8021AB414BBE)	1	5	5	0.016	0.005	0.005	14	33	33	16	15	18	12.00	10057.2.3	100
2025-3-30 11:27:35.878	WTbob(8021AB414BBE)	4	4	4	0.005	0.000	0.005	30	33	41	16	15	18	12.00	10057.2.3	100
2025-3-30 11:27:35.997	WTbob(8021AB414BBE)	5	8	8	0.016	0.000	0.000	9	89	60	16	15	18	12.12	10057.2.3	100
2025-3-30 11:27:36.118	WTbob(8021AB414BBE)	4	8	6	0.005	0.011	0.000	16	112	65	19	14	17	12.06	10057.2.3	100
2025-3-30 11:27:36.209	WTbob(8021AB414BBE)	2	20	6	0.000	0.005	0.005	10	88	36	19	14	17	12.19	10057.2.3	100
2025-3-30 11:27:36.267	WTbob(8021AB414BBE)	6	2	3	0.005	0.011	0.011	8	5	35	19	14	17	12.12	10057.2.3	100
2025-3-30 11:27:36.388	WTbob(8021AB414BBE)	4	4	4	0.000	0.011	0.011	19	34	45	19	14	17	11.87	10057.2.3	100
2025-3-30 11:27:36.477	WTbob(8021AB414BBE)	2	6	5	0.000	0.000	0.011	29	56	22	19	14	17	12.12	10057.2.3	100
2025-3-30 11:27:36.597	WTbob(8021AB414BBE)	4	14	6	0.005	0.005	0.000	28	52	69	19	14	17	12.06	10057.2.3	100
2025-3-30 11:27:36.687	WTbob(8021AB414BBE)	3	4	5	0.011	0.011	0.005	23	64	43	19	14	17	12.00	10057.2.3	100
2025-3-30 11:27:36.807	WTbob(8021AB414BBE)	3	3	3	0.005	0.005	0.005	12	10	22	19	14	17	11.94	10057.2.3	100
2025-3-30 11:27:36.867	WTbob(8021AB414BBE)	4	6	1	0.000	0.000	0.005	24	44	2	19	14	17	12.12	10057.2.3	100
2025-3-30 11:27:36.987	WTbob(8021AB414BBE)	3	10	2	0.005	0.005	0.005	24	115	10	19	14	17	12.00	10057.2.3	100
2025-3-30 11:27:37.78	WTbob(8021AB414BBE)	3	8	2	0.011	0.011	0.016	10	59	21	16	13	15	11.87	10057.2.3	100
2025-3-30 11:27:37.197	WTbob(8021AB414BBE)	9	10	5	0.011	0.000	0.005	46	51	25	16	13	15	12.00	10057.2.3	100
2025-3-30 11:27:37.287	WTbob(8021AB414BBE)	5	26	16	0.055	0.005	0.022	91	244	177	16	13	15	12.19	10057.2.3	100
2025-3-30 11:27:37.407	WTbob(8021AB414BBE)	6	28	4	0.000	0.000	0.016	44	172	37	16	13	15	12.12	10057.2.3	100
2025-3-30 11:27:37.499	WTbob(8021AB414BBE)	6	25	8	0.044	0.005	0.005	38	396	169	16	13	15	12.12	10057.2.3	100
2025-3-30 11:27:37.617	WTbob(8021AB414BBE)	1	7	11	0.005	0.000	0.005	41	52	85	16	13	15	12.00	10057.2.3	100
2025-3-30 11:27:37.677	WTbob(8021AB414BBE)	6	14	5	0.016	0.005	0.016	18	83	43	16	13	15	11.87	10057.2.3	100
2025-3-30 11:27:37.797	WTbob(8021AB414BBE)	6	14	6	0.005	0.005	0.005	25	133	40	16	13	15	12.06	10057.2.3	100
2025-3-30 11:27:37.887	WTbob(8021AB414BBE)	4	27	8	0.027	0.016	0.005	8	127	16	16	13	15	12.06	10057.2.3	100
2025-3-30 11:27:38.7	WTbob(8021AB414BBE)	7	7	4	0.027	0.000	0.016	10	15	74	16	13	15	12.12	10057.2.3	100
2025-3-30 11:27:38.99	WTbob(8021AB414BBE)	7	16	14	0.016	0.005	0.016	34	97	82	19	17	17	11.75	10057.2.3	100
