time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-4-20 12:18:55.289	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	5	5	27.27	10057.2.3	100
2025-4-20 12:18:55.410	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	6	5	5	27.58	10057.2.3	100
2025-4-20 12:18:55.469	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	6	5	5	27.58	10057.2.3	100
2025-4-20 12:18:55.619	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	6	5	5	27.46	10057.2.3	100
2025-4-20 12:18:55.679	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	6	5	5	27.52	10057.2.3	100
2025-4-20 12:18:55.800	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	5	5	27.20	10057.2.3	100
2025-4-20 12:18:55.890	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	6	5	5	27.52	10057.2.3	100
2025-4-20 12:18:56.10	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	6	5	5	27.08	10057.2.3	100
2025-4-20 12:18:56.100	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	5	3	4	27.58	10057.2.3	100
2025-4-20 12:18:56.280	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	4	0	0	5	3	4	27.52	10057.2.3	100
2025-4-20 12:18:56.281	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	1	2	5	3	4	27.46	10057.2.3	100
2025-4-20 12:18:56.399	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	2	3	5	3	4	27.52	10057.2.3	100
2025-4-20 12:18:56.491	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	4	1	2	5	3	4	27.64	10057.2.3	100
2025-4-20 12:18:56.610	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	5	3	4	27.46	10057.2.3	100
2025-4-20 12:18:56.699	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	0	5	3	4	27.20	10057.2.3	100
2025-4-20 12:18:56.819	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	3	5	3	4	27.58	10057.2.3	100
2025-4-20 12:18:56.879	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	3	4	27.46	10057.2.3	100
2025-4-20 12:18:57.76	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	5	3	4	27.58	10057.2.3	100
2025-4-20 12:18:57.89	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	5	5	27.58	10057.2.3	100
2025-4-20 12:18:57.209	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	6	5	5	27.46	10057.2.3	100
2025-4-20 12:18:57.299	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	6	5	5	27.58	10057.2.3	100
2025-4-20 12:18:57.420	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	6	5	5	27.14	10057.2.3	100
2025-4-20 12:18:57.508	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	5	5	27.20	10057.2.3	100
2025-4-20 12:18:57.629	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	6	5	5	27.27	10057.2.3	100
2025-4-20 12:18:57.719	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	6	5	5	27.52	10057.2.3	100
2025-4-20 12:18:57.809	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	5	5	27.46	10057.2.3	100
2025-4-20 12:18:57.899	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	6	5	5	27.20	10057.2.3	100
2025-4-20 12:18:58.20	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	6	5	5	27.58	10057.2.3	100
2025-4-20 12:18:58.108	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	2	6	3	4	27.52	10057.2.3	100
2025-4-20 12:18:58.259	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	6	3	4	27.46	10057.2.3	100
2025-4-20 12:18:58.289	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	2	6	3	4	27.46	10057.2.3	100
2025-4-20 12:18:58.592	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	1	6	3	4	27.27	10057.2.3	100
2025-4-20 12:18:58.622	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	3	4	27.27	10057.2.3	100
