time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-4-6 10:8:20.796	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	6	9	5	21.59	10057.2.3	100
2025-4-6 10:8:20.891	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	9	5	21.59	10057.2.3	100
2025-4-6 10:8:21.41	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	2	1	6	9	5	21.40	10057.2.3	100
2025-4-6 10:8:21.94	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	7	5	4	21.40	10057.2.3	100
2025-4-6 10:8:21.191	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	7	5	4	21.71	10057.2.3	100
2025-4-6 10:8:21.319	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	7	5	4	21.65	10057.2.3	100
2025-4-6 10:8:21.394	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	7	5	4	21.40	10057.2.3	100
2025-4-6 10:8:21.491	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	7	5	4	21.40	10057.2.3	100
2025-4-6 10:8:21.594	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	7	5	4	21.65	10057.2.3	100
2025-4-6 10:8:21.693	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	7	5	4	21.65	10057.2.3	100
2025-4-6 10:8:21.818	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	2	7	5	4	21.59	10057.2.3	100
2025-4-6 10:8:21.918	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	1	7	5	4	21.46	10057.2.3	100
2025-4-6 10:8:22.69	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	7	5	4	21.65	10057.2.3	100
2025-4-6 10:8:22.91	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	3	4	21.59	10057.2.3	100
2025-4-6 10:8:22.242	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	3	4	21.40	10057.2.3	100
2025-4-6 10:8:22.344	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	5	3	4	21.46	10057.2.3	100
2025-4-6 10:8:22.419	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	3	4	21.65	10057.2.3	100
2025-4-6 10:8:22.494	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	3	4	21.40	10057.2.3	100
2025-4-6 10:8:22.668	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	5	3	4	21.78	10057.2.3	100
2025-4-6 10:8:22.691	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	3	4	21.46	10057.2.3	100
2025-4-6 10:8:22.820	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	3	4	21.59	10057.2.3	100
2025-4-6 10:8:22.944	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	3	4	21.40	10057.2.3	100
2025-4-6 10:8:23.20	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	5	3	4	21.40	10057.2.3	100
2025-4-6 10:8:23.93	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	1	4	2	4	21.46	10057.2.3	100
